学号,类别,名称,补充说明,获奖情况,人员次序,获得日期,结题时间,认定学分,状态,审核人,审核意见
202300044,其他实践活动,智能驾驶技术专题培训,技能资格培训·高级,,,2025-04-15,,1.5,通过,李文静,佐证材料完整，予以通过
202300045,前沿学术报告,汽车百家讲坛,第1-5期·新能源汽车动力总成发展趋势,,,2025-02-11,,0.25,通过,李文静,佐证材料完整，予以通过
202300045,年度创新创业项目,院级·负责人,基于深度学习的交通标志识别系统,,负责人,2024-08-20,2026-06-30,1.0,通过,李文静,佐证材料完整，予以通过
202300045,科技创新竞赛,中国国际大学生创新大赛,,省级·一等奖,核心成员,2026-05-14,,1.8,公示中,李文静,佐证材料完整，予以通过
202300045,创业实践,智能驾培服务平台,注册成立公司·法人代表,,法人代表,2026-08-16,,6.0,通过,李文静,佐证材料完整，予以通过
202300045,学术论文,基于深度学习的路面裂缝检测方法研究,核心期刊·第一作者,,第一作者,2025-08-10,,4.0,待审核,,
202300045,申请专利,一种车载智能空气净化装置,发明专利·其他发明人,,其他发明人,2025-10-08,,3.0,通过,李文静,佐证材料完整，予以通过
202300045,其他实践活动,智能驾驶技术专题培训,学术交流访问·出境交流,,,2025-01-12,,2.0,通过,李文静,佐证材料完整，予以通过
202300046,前沿学术报告,汽车百家讲坛,第11期以后·智能制造与数字化工厂实践,,,2025-08-17,,0.25,待审核,,
202300046,年度创新创业项目,省级·一般成员,基于STM32的智能循迹小车,,一般成员,2024-04-21,2026-06-30,1.5,通过,李文静,佐证材料完整，予以通过
202300046,科技创新竞赛,全国大学生数学建模竞赛,,国家级·二等奖,核心成员,2026-07-22,,2.4,待院长审批,李文静,初审通过，转院长审批
202300046,创业实践,校内共享打印服务站,入驻孵化器·团队成员,,团队成员,2026-04-15,,2.0,通过,李文静,材料齐全，同意认定
202300046,学术论文,混合动力汽车能量管理策略仿真,国际/国内会议·第二作者,,第二作者,2025-03-15,,2.0,通过,李文静,材料齐全，同意认定
202300046,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·第一发明人,,第一发明人,2025-11-25,,3.0,通过,李文静,符合认定条件，通过
202300046,其他实践活动,汽车工程学院企业行,学科冬夏令营·省级,,,2024-05-24,,1.0,通过,李文静,佐证材料完整，予以通过
202300047,前沿学术报告,名家学术讲座,单场·智能制造与数字化工厂实践,,,2024-12-22,,0.5,待审核,,
202300047,年度创新创业项目,省级·一般成员,轮胎花纹与湿滑路面制动性能仿真,,一般成员,2025-07-28,2026-06-30,1.5,通过,李文静,符合认定条件，通过
202300047,科技创新竞赛,全国大学生数学建模竞赛,,国家级·二等奖,第三完成人,2024-08-11,,2.0,通过,李文静,材料齐全，同意认定
202300047,创业实践,智能驾培服务平台,注册成立公司·合伙人,,合伙人,2025-04-03,,4.0,待审核,,
202300047,学术论文,电动汽车无线充电耦合机构优化设计,国际/国内会议·第一作者,,第一作者,2026-01-16,,3.0,通过,李文静,材料齐全，同意认定
202300047,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·其他发明人,,其他发明人,2025-10-19,,1.5,通过,李文静,材料齐全，同意认定
202300047,其他实践活动,智能驾驶技术专题培训,技能资格培训·高级,,,2026-03-26,,1.5,通过,李文静,材料齐全，同意认定
202300048,前沿学术报告,汽车百家讲坛,第11期以后·动力电池热管理关键技术,,,2024-06-06,,0.25,待审核,,
202300048,年度创新创业项目,省级·负责人,车载OBD数据采集与驾驶行为分析,,负责人,2025-02-15,2026-06-30,4.0,通过,李文静,材料齐全，同意认定
202300048,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,国家级·二等奖,第三完成人,2026-08-26,,2.0,通过,李文静,佐证材料完整，予以通过
202300048,创业实践,智能驾培服务平台,创业训练计划·负责人,,负责人,2026-01-03,,3.0,通过,李文静,佐证材料完整，予以通过
202300048,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·其他作者,,其他作者,2025-10-10,,1.0,待审核,,
202300048,申请专利,一种可调节角度的车载平板支架,发明专利·其他发明人,,其他发明人,2026-02-24,,3.0,待院长审批,李文静,初审通过，转院长审批
202300048,其他实践活动,智能驾驶技术专题培训,学科冬夏令营·省级,,,2024-05-19,,1.0,通过,李文静,符合认定条件，通过
202300049,前沿学术报告,名家学术讲座,单场·动力电池热管理关键技术,,,2025-01-18,,0.5,通过,李文静,佐证材料完整，予以通过
202300049,年度创新创业项目,国家级·负责人,氢燃料电池汽车散热性能仿真分析,,负责人,2025-09-07,2026-06-30,6.0,待审核,,
202300049,科技创新竞赛,全国大学生数学建模竞赛,,国家级·二等奖,第一完成人,2024-07-19,,4.0,通过,李文静,材料齐全，同意认定
202300049,创业实践,新能源汽车科普工作室,入驻孵化器·团队成员,,团队成员,2026-04-28,,2.0,通过,李文静,材料齐全，同意认定
202300049,学术论文,基于深度学习的路面裂缝检测方法研究,普通期刊·第一作者,,第一作者,2026-07-03,,2.0,通过,李文静,符合认定条件，通过
202300049,申请专利,一种可调节角度的车载平板支架,发明专利·其他发明人,,其他发明人,2025-08-14,,3.0,通过,李文静,符合认定条件，通过
202300049,其他实践活动,智能驾驶技术专题培训,技能资格培训·高级,,,2024-03-14,,1.5,通过,李文静,佐证材料完整，予以通过
202300050,前沿学术报告,汽车百家讲坛,第11期以后·氢能及燃料电池汽车产业展望,,,2025-10-10,,0.25,通过,李文静,符合认定条件，通过
202300050,年度创新创业项目,省级·核心成员,太阳能小车能量管理策略研究,,核心成员,2024-06-13,2026-06-30,3.0,通过,李文静,材料齐全，同意认定
202300050,科技创新竞赛,全国大学生智能汽车竞赛,,省级·二等奖,第三完成人,2025-08-25,,1.0,通过,李文静,佐证材料完整，予以通过
202300050,创业实践,二手车检测陪购服务工作室,入驻孵化器·负责人,,负责人,2026-04-04,,4.0,通过,李文静,符合认定条件，通过
202300050,学术论文,基于深度学习的路面裂缝检测方法研究,普通期刊·其他作者,,其他作者,2025-03-28,,0.5,通过,李文静,佐证材料完整，予以通过
202300050,申请专利,一种基于视觉的后视镜盲区监测装置,外观设计专利·第一发明人,,第一发明人,2026-07-26,,2.0,公示中,李文静,材料齐全，同意认定
202300050,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·高级,,,2024-08-12,,1.5,通过,李文静,符合认定条件，通过
202300051,前沿学术报告,汽车百家讲坛,第11期以后·汽车芯片与域控制器架构,,,2025-10-22,,0.25,待审核,,
202300051,年度创新创业项目,省级·一般成员,新能源汽车电池热管理优化研究,,一般成员,2025-03-11,2026-06-30,1.5,通过,李文静,符合认定条件，通过
202300051,科技创新竞赛,中国国际大学生创新大赛,,国家级·一等奖,核心成员,2025-11-07,,3.6,通过,李文静,符合认定条件，通过
202300051,创业实践,二手车检测陪购服务工作室,入驻孵化器·负责人,,负责人,2025-09-04,,4.0,待院长审批,李文静,初审通过，转院长审批
202300051,学术论文,汽车主动悬架半主动控制策略仿真,国际/国内会议·第二作者,,第二作者,2025-07-24,,2.0,通过,李文静,材料齐全，同意认定
202300051,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2025-02-08,,3.0,通过,李文静,符合认定条件，通过
202300051,其他实践活动,汽车造型设计工作坊,技能资格培训·初级,,,2025-04-03,,0.5,通过,李文静,佐证材料完整，予以通过
202300052,前沿学术报告,信息科学论坛,第1-5期·无人驾驶环境感知技术进展,,,2025-06-21,,0.25,通过,李文静,符合认定条件，通过
202300052,年度创新创业项目,校级·负责人,二手车价格预测模型构建,,负责人,2024-11-13,2026-06-30,2.0,通过,李文静,佐证材料完整，予以通过
202300052,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,省级·三等奖,负责人,2024-05-10,,1.0,通过,李文静,佐证材料完整，予以通过
202300052,创业实践,二手车检测陪购服务工作室,创业训练计划·团队成员,,团队成员,2026-06-01,,1.5,通过,李文静,佐证材料完整，予以通过
202300052,学术论文,低温环境下锂电池充放电特性研究,核心期刊·第一作者,,第一作者,2026-01-11,,4.0,通过,李文静,材料齐全，同意认定
202300052,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·第一发明人,,第一发明人,2026-04-07,,3.0,通过,李文静,符合认定条件，通过
202300052,其他实践活动,汽车造型设计工作坊,学术交流访问·境内交流,,,2026-01-20,,1.0,通过,李文静,材料齐全，同意认定
202300053,前沿学术报告,信息科学论坛,第6期以后·智能网联汽车技术前沿,,,2026-01-17,,0.25,通过,李文静,佐证材料完整，予以通过
202300053,年度创新创业项目,省级·核心成员,车载OBD数据采集与驾驶行为分析,,核心成员,2024-02-18,2026-06-30,3.0,通过,李文静,佐证材料完整，予以通过
202300053,科技创新竞赛,校智能车校内选拔赛,,校级·三等奖,核心成员,2024-10-18,,0.3,待审核,,
202300053,创业实践,大学生汽车文创工作室,入驻孵化器·负责人,,负责人,2025-08-28,,4.0,通过,李文静,符合认定条件，通过
202300053,学术论文,汽车主动悬架半主动控制策略仿真,国际/国内会议·第一作者,,第一作者,2026-02-04,,3.0,通过,李文静,符合认定条件，通过
202300053,申请专利,一种基于视觉的后视镜盲区监测装置,发明专利·其他发明人,,其他发明人,2025-09-16,,3.0,待审核,,
202300053,其他实践活动,暑期高校科学营活动,学科冬夏令营·省级,,,2024-12-05,,1.0,待审核,,
202300054,前沿学术报告,信息科学论坛,第6期以后·新能源汽车动力总成发展趋势,,,2026-05-09,,0.25,公示中,李文静,佐证材料完整，予以通过
202300054,年度创新创业项目,校级·一般成员,二手车价格预测模型构建,,一般成员,2024-04-09,2026-06-30,1.0,通过,李文静,符合认定条件，通过
202300054,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,省级·三等奖,核心成员,2025-09-08,,0.6,通过,李文静,符合认定条件，通过
202300054,创业实践,校园二手书流转平台,注册成立公司·法人代表,,法人代表,2025-07-26,,6.0,通过,李文静,佐证材料完整，予以通过
202300054,学术论文,基于YOLO的车距保持辅助算法研究,国际/国内会议·第二作者,,第二作者,2025-01-19,,2.0,通过,李文静,佐证材料完整，予以通过
202300054,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2025-12-01,,3.0,通过,李文静,材料齐全，同意认定
202300054,其他实践活动,汽车造型设计工作坊,学科冬夏令营·省级,,,2025-03-28,,1.0,通过,李文静,符合认定条件，通过
202300055,前沿学术报告,信息科学论坛,第6期以后·汽车轻量化设计与新材料应用,,,2024-02-24,,0.25,通过,李文静,符合认定条件，通过
202300055,年度创新创业项目,院级·一般成员,基于STM32的智能循迹小车,,一般成员,2025-02-13,2026-06-30,0.5,通过,李文静,材料齐全，同意认定
202300055,科技创新竞赛,全国大学生数学建模竞赛,,国家级·二等奖,第一完成人,2025-01-19,,4.0,待审核,,
202300055,创业实践,校内共享打印服务站,创业训练计划·团队成员,,团队成员,2026-03-18,,1.5,通过,李文静,材料齐全，同意认定
202300055,学术论文,基于多目标优化的车身结构轻量化设计,普通期刊·其他作者,,其他作者,2026-02-21,,0.5,通过,李文静,材料齐全，同意认定
202300055,申请专利,一种电动汽车电池包液冷结构,发明专利·其他发明人,,其他发明人,2025-06-04,,3.0,通过,李文静,符合认定条件，通过
202300055,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·初级,,,2024-10-10,,0.5,通过,李文静,符合认定条件，通过
202300056,前沿学术报告,名家学术讲座,单场·车载总线与嵌入式系统开发,,,2025-11-05,,0.5,通过,李文静,符合认定条件，通过
202300056,年度创新创业项目,校级·负责人,车载OBD数据采集与驾驶行为分析,,负责人,2025-09-03,2026-06-30,2.0,通过,李文静,符合认定条件，通过
202300056,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·一等奖,第二完成人,2025-11-24,,4.2,通过,李文静,佐证材料完整，予以通过
202300056,创业实践,二手车检测陪购服务工作室,入驻孵化器·负责人,,负责人,2026-03-24,,4.0,通过,李文静,材料齐全，同意认定
202300056,学术论文,电动汽车无线充电耦合机构优化设计,核心期刊·其他作者,,其他作者,2026-01-15,,1.0,通过,李文静,佐证材料完整，予以通过
202300056,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·第一发明人,,第一发明人,2026-08-21,,3.0,通过,李文静,符合认定条件，通过
202300056,其他实践活动,暑期高校科学营活动,学术交流访问·出境交流,,,2024-08-23,,2.0,通过,李文静,材料齐全，同意认定
202300057,前沿学术报告,信息科学论坛,第6期以后·智能制造与数字化工厂实践,,,2024-11-17,,0.25,通过,李文静,材料齐全，同意认定
202300057,年度创新创业项目,校级·负责人,轮胎花纹与湿滑路面制动性能仿真,,负责人,2025-11-10,2026-06-30,2.0,通过,李文静,符合认定条件，通过
202300057,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·二等奖,第一完成人,2026-08-08,,4.0,待审核,,
202300057,创业实践,新能源汽车科普工作室,注册成立公司·团队成员,,团队成员,2026-05-20,,2.0,待审核,,
202300057,学术论文,汽车主动悬架半主动控制策略仿真,国际/国内会议·其他作者,,其他作者,2026-02-24,,1.0,待审核,,
202300057,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·第一发明人,,第一发明人,2025-10-20,,3.0,通过,李文静,材料齐全，同意认定
202300057,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·初级,,,2026-03-13,,0.5,通过,李文静,材料齐全，同意认定
202300058,前沿学术报告,名家学术讲座,单场·智能制造与数字化工厂实践,,,2026-06-11,,0.5,通过,李文静,符合认定条件，通过
202300058,年度创新创业项目,校级·核心成员,基于机器视觉的行人过街检测系统,,核心成员,2024-12-02,2026-06-30,1.5,通过,李文静,材料齐全，同意认定
202300058,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·二等奖,第一完成人,2026-06-14,,4.0,公示中,李文静,佐证材料完整，予以通过
202300058,创业实践,二手车检测陪购服务工作室,入驻孵化器·负责人,,负责人,2026-01-01,,4.0,通过,李文静,佐证材料完整，予以通过
202300058,学术论文,基于YOLO的车距保持辅助算法研究,国际/国内会议·第一作者,,第一作者,2026-01-18,,3.0,通过,李文静,佐证材料完整，予以通过
202300058,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·其他发明人,,其他发明人,2025-09-07,,1.5,待审核,,
202300058,其他实践活动,德国亚琛工业大学线上交流项目,学术交流访问·出境交流,,,2024-10-28,,2.0,通过,李文静,材料齐全，同意认定
202300059,前沿学术报告,信息科学论坛,第1-5期·智能网联汽车技术前沿,,,2026-05-11,,0.25,通过,李文静,材料齐全，同意认定
202300059,年度创新创业项目,校级·负责人,基于STM32的智能循迹小车,,负责人,2024-07-01,2026-06-30,2.0,通过,李文静,佐证材料完整，予以通过
202300059,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·二等奖,负责人,2025-08-27,,4.0,通过,李文静,材料齐全，同意认定
202300059,创业实践,新能源汽车科普工作室,入驻孵化器·团队成员,,团队成员,2026-07-18,,2.0,通过,李文静,符合认定条件，通过
202300059,学术论文,低温环境下锂电池充放电特性研究,核心期刊·第一作者,,第一作者,2025-10-23,,4.0,通过,李文静,材料齐全，同意认定
202300059,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·第一发明人,,第一发明人,2026-04-10,,3.0,通过,李文静,佐证材料完整，予以通过
202300059,其他实践活动,暑期高校科学营活动,技能资格培训·初级,,,2025-08-19,,0.5,待审核,,
202300060,前沿学术报告,名家学术讲座,单场·无人驾驶环境感知技术进展,,,2024-09-05,,0.5,通过,李文静,材料齐全，同意认定
202300060,年度创新创业项目,校级·一般成员,太阳能小车能量管理策略研究,,一般成员,2024-02-07,2026-06-30,1.0,通过,李文静,符合认定条件，通过
202300060,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·二等奖,第一完成人,2026-06-21,,4.0,通过,李文静,佐证材料完整，予以通过
202300060,创业实践,新能源汽车科普工作室,创业训练计划·团队成员,,团队成员,2026-06-01,,1.5,待审核,,
202300060,学术论文,基于深度学习的路面裂缝检测方法研究,国际/国内会议·第二作者,,第二作者,2026-07-01,,2.0,通过,李文静,佐证材料完整，予以通过
202300060,申请专利,一种新能源汽车充电枪锁止机构,外观设计专利·其他发明人,,其他发明人,2025-05-20,,1.0,通过,李文静,材料齐全，同意认定
202300060,其他实践活动,汽车工程学院企业行,学术交流访问·境内交流,,,2025-05-11,,1.0,通过,李文静,符合认定条件，通过
202300061,前沿学术报告,汽车百家讲坛,第11期以后·动力电池热管理关键技术,,,2026-04-28,,0.25,通过,李文静,材料齐全，同意认定
202300061,年度创新创业项目,校级·核心成员,基于STM32的智能循迹小车,,核心成员,2025-06-01,2026-06-30,1.5,待审核,,
202300061,科技创新竞赛,全国大学生数学建模竞赛,,省级·二等奖,负责人,2024-06-01,,2.0,通过,李文静,符合认定条件，通过
202300061,创业实践,二手车检测陪购服务工作室,注册成立公司·法人代表,,法人代表,2025-12-03,,6.0,待审核,,
202300061,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·第一作者,,第一作者,2026-04-11,,4.0,通过,李文静,材料齐全，同意认定
202300061,申请专利,一种基于视觉的后视镜盲区监测装置,外观设计专利·其他发明人,,其他发明人,2025-04-23,,1.0,待审核,,
202300061,其他实践活动,德国亚琛工业大学线上交流项目,学术交流访问·境内交流,,,2024-12-04,,1.0,通过,李文静,符合认定条件，通过
202300062,前沿学术报告,信息科学论坛,第1-5期·动力电池热管理关键技术,,,2025-05-21,,0.25,通过,李文静,佐证材料完整，予以通过
202300062,年度创新创业项目,院级·一般成员,基于深度学习的交通标志识别系统,,一般成员,2024-03-05,2026-06-30,0.5,通过,李文静,材料齐全，同意认定
202300062,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,省级·一等奖,第三完成人,2024-08-05,,1.5,待院长审批,李文静,初审通过，转院长审批
202300062,创业实践,新能源汽车科普工作室,创业训练计划·团队成员,,团队成员,2025-04-09,,1.5,通过,李文静,佐证材料完整，予以通过
202300062,学术论文,汽车主动悬架半主动控制策略仿真,SCI/EI 收录·第二作者,,第二作者,2026-05-05,,4.0,通过,李文静,材料齐全，同意认定
202300062,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·第一发明人,,第一发明人,2025-06-17,,3.0,通过,李文静,符合认定条件，通过
202300062,其他实践活动,汽车造型设计工作坊,技能资格培训·初级,,,2025-01-28,,0.5,通过,李文静,符合认定条件，通过
202300063,前沿学术报告,汽车百家讲坛,第1-5期·汽车轻量化设计与新材料应用,,,2024-01-03,,0.25,公示中,李文静,符合认定条件，通过
202300063,年度创新创业项目,校级·一般成员,氢燃料电池汽车散热性能仿真分析,,一般成员,2024-07-05,2026-06-30,1.0,通过,李文静,材料齐全，同意认定
202300063,科技创新竞赛,中国国际大学生创新大赛,,省级·二等奖,负责人,2026-01-09,,2.0,通过,李文静,符合认定条件，通过
202300063,创业实践,新能源汽车科普工作室,注册成立公司·团队成员,,团队成员,2025-09-28,,2.0,待审核,,
202300063,学术论文,燃料电池汽车氢气循环系统特性分析,国际/国内会议·第二作者,,第二作者,2025-05-01,,2.0,通过,李文静,符合认定条件，通过
202300063,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2025-08-03,,1.5,待审核,,
202300063,其他实践活动,智能驾驶技术专题培训,学科冬夏令营·省级,,,2025-05-16,,1.0,待审核,,
202300064,前沿学术报告,汽车百家讲坛,第1-5期·无人驾驶环境感知技术进展,,,2025-11-25,,0.25,通过,李文静,佐证材料完整，予以通过
202300064,年度创新创业项目,省级·核心成员,基于STM32的智能循迹小车,,核心成员,2024-07-02,2026-06-30,3.0,公示中,李文静,材料齐全，同意认定
202300064,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·二等奖,负责人,2024-05-23,,4.0,通过,李文静,材料齐全，同意认定
202300064,创业实践,大学生汽车文创工作室,注册成立公司·合伙人,,合伙人,2025-03-23,,4.0,待审核,,
202300064,学术论文,电动汽车无线充电耦合机构优化设计,核心期刊·第一作者,,第一作者,2026-06-21,,4.0,通过,李文静,符合认定条件，通过
202300064,申请专利,一种可调节角度的车载平板支架,外观设计专利·第一发明人,,第一发明人,2026-07-11,,2.0,通过,李文静,材料齐全，同意认定
202300064,其他实践活动,汽车工程学院企业行,学术交流访问·境内交流,,,2024-12-22,,1.0,待审核,,
202300065,前沿学术报告,信息科学论坛,第1-5期·动力电池热管理关键技术,,,2024-07-01,,0.25,通过,李文静,材料齐全，同意认定
202300065,年度创新创业项目,院级·一般成员,氢燃料电池汽车散热性能仿真分析,,一般成员,2025-06-23,2026-06-30,0.5,通过,李文静,佐证材料完整，予以通过
202300065,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·三等奖,第三完成人,2024-02-19,,1.0,通过,李文静,材料齐全，同意认定
202300065,创业实践,二手车检测陪购服务工作室,注册成立公司·团队成员,,团队成员,2026-05-18,,2.0,通过,李文静,佐证材料完整，予以通过
202300065,学术论文,混合动力汽车能量管理策略仿真,SCI/EI 收录·其他作者,,其他作者,2026-04-28,,2.0,通过,李文静,符合认定条件，通过
202300065,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2026-08-20,,3.0,待审核,,
202300065,其他实践活动,汽车工程学院企业行,技能资格培训·初级,,,2026-01-13,,0.5,通过,李文静,佐证材料完整，予以通过
202300066,前沿学术报告,汽车百家讲坛,第6-10期·新能源汽车动力总成发展趋势,,,2026-03-11,,0.25,通过,李文静,材料齐全，同意认定
202300066,年度创新创业项目,校级·核心成员,基于STM32的智能循迹小车,,核心成员,2024-06-01,2026-06-30,1.5,通过,李文静,佐证材料完整，予以通过
202300066,科技创新竞赛,全国大学生数学建模竞赛,,国家级·二等奖,负责人,2026-02-23,,4.0,待审核,,
202300066,创业实践,校园二手书流转平台,注册成立公司·法人代表,,法人代表,2025-12-24,,6.0,通过,李文静,材料齐全，同意认定
202300066,学术论文,混合动力汽车能量管理策略仿真,核心期刊·第一作者,,第一作者,2026-04-07,,4.0,通过,李文静,佐证材料完整，予以通过
202300066,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·第一发明人,,第一发明人,2026-04-14,,3.0,待审核,,
202300066,其他实践活动,汽车工程学院企业行,技能资格培训·中级,,,2025-01-02,,1.0,通过,李文静,材料齐全，同意认定
202300067,前沿学术报告,汽车百家讲坛,第6-10期·智能网联汽车技术前沿,,,2025-05-05,,0.25,通过,李文静,佐证材料完整，予以通过
202300067,年度创新创业项目,校级·负责人,校园共享电动车调度优化研究,,负责人,2024-10-05,2026-06-30,2.0,通过,李文静,佐证材料完整，予以通过
202300067,科技创新竞赛,校智能车校内选拔赛,,校级·一等奖,负责人,2025-06-28,,1.0,待审核,,
202300067,创业实践,校园二手书流转平台,注册成立公司·团队成员,,团队成员,2026-08-03,,2.0,待审核,,
202300067,学术论文,燃料电池汽车氢气循环系统特性分析,普通期刊·第一作者,,第一作者,2026-06-03,,2.0,通过,李文静,符合认定条件，通过
202300067,申请专利,一种基于视觉的后视镜盲区监测装置,发明专利·其他发明人,,其他发明人,2026-01-04,,3.0,通过,李文静,佐证材料完整，予以通过
202300067,其他实践活动,汽车造型设计工作坊,学科冬夏令营·国家级,,,2025-02-10,,2.0,通过,李文静,佐证材料完整，予以通过
202300068,前沿学术报告,名家学术讲座,单场·汽车芯片与域控制器架构,,,2026-08-14,,0.5,通过,李文静,材料齐全，同意认定
202300068,年度创新创业项目,省级·负责人,智能导览机器人设计与实现,,负责人,2025-10-23,2026-06-30,4.0,通过,李文静,材料齐全，同意认定
202300068,科技创新竞赛,中国国际大学生创新大赛,,国家级·三等奖,第二完成人,2024-03-19,,1.4,通过,李文静,符合认定条件，通过
202300068,创业实践,智能驾培服务平台,创业训练计划·负责人,,负责人,2025-12-12,,3.0,通过,李文静,材料齐全，同意认定
202300068,学术论文,电动汽车无线充电耦合机构优化设计,SCI/EI 收录·第一作者,,第一作者,2026-04-04,,6.0,通过,李文静,材料齐全，同意认定
202300068,申请专利,一种新能源汽车充电枪锁止机构,外观设计专利·其他发明人,,其他发明人,2026-01-23,,1.0,待院长审批,李文静,初审通过，转院长审批
202300068,其他实践活动,汽车工程学院企业行,技能资格培训·高级,,,2026-06-13,,1.5,通过,李文静,佐证材料完整，予以通过
202300069,前沿学术报告,汽车百家讲坛,第6-10期·汽车空气动力学优化设计,,,2026-07-12,,0.25,通过,李文静,材料齐全，同意认定
202300069,年度创新创业项目,省级·负责人,车载OBD数据采集与驾驶行为分析,,负责人,2024-02-19,2026-06-30,4.0,通过,李文静,符合认定条件，通过
202300069,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,省级·二等奖,第一完成人,2025-10-25,,2.0,通过,李文静,符合认定条件，通过
202300069,创业实践,校园二手书流转平台,创业训练计划·负责人,,负责人,2025-04-22,,3.0,通过,李文静,符合认定条件，通过
202300069,学术论文,基于YOLO的车距保持辅助算法研究,普通期刊·第二作者,,第二作者,2026-07-05,,1.0,通过,李文静,材料齐全，同意认定
202300069,申请专利,一种车载智能空气净化装置,实用新型专利·其他发明人,,其他发明人,2026-02-21,,1.5,通过,李文静,符合认定条件，通过
202300069,其他实践活动,德国亚琛工业大学线上交流项目,技能资格培训·高级,,,2025-05-03,,1.5,通过,李文静,符合认定条件，通过
202300070,前沿学术报告,名家学术讲座,单场·无人驾驶环境感知技术进展,,,2026-03-02,,0.5,通过,李文静,符合认定条件，通过
202300070,年度创新创业项目,校级·负责人,轮胎花纹与湿滑路面制动性能仿真,,负责人,2025-08-28,2026-06-30,2.0,待审核,,
202300070,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·三等奖,核心成员,2024-01-27,,1.2,待审核,,
202300070,创业实践,新能源汽车科普工作室,入驻孵化器·负责人,,负责人,2025-09-08,,4.0,待院长审批,李文静,初审通过，转院长审批
202300070,学术论文,基于多目标优化的车身结构轻量化设计,普通期刊·第一作者,,第一作者,2025-06-17,,2.0,待审核,,
202300070,申请专利,一种车载智能空气净化装置,实用新型专利·第一发明人,,第一发明人,2025-06-07,,3.0,通过,李文静,佐证材料完整，予以通过
202300070,其他实践活动,全国大学生汽车科技夏令营,技能资格培训·中级,,,2024-05-19,,1.0,通过,李文静,材料齐全，同意认定
202300071,前沿学术报告,汽车百家讲坛,第6-10期·车载总线与嵌入式系统开发,,,2024-10-01,,0.25,通过,李文静,材料齐全，同意认定
202300071,年度创新创业项目,校级·负责人,基于STM32的智能循迹小车,,负责人,2024-10-21,2026-06-30,2.0,通过,李文静,符合认定条件，通过
202300071,科技创新竞赛,校智能车校内选拔赛,,校级·一等奖,负责人,2026-05-12,,1.0,公示中,李文静,材料齐全，同意认定
202300071,创业实践,新能源汽车科普工作室,入驻孵化器·负责人,,负责人,2026-07-18,,4.0,通过,李文静,佐证材料完整，予以通过
202300071,学术论文,基于深度学习的路面裂缝检测方法研究,国际/国内会议·第二作者,,第二作者,2026-03-11,,2.0,通过,李文静,佐证材料完整，予以通过
202300071,申请专利,一种多功能汽车后备箱收纳架,发明专利·其他发明人,,其他发明人,2026-02-02,,3.0,通过,李文静,符合认定条件，通过
202300071,其他实践活动,暑期高校科学营活动,学术交流访问·境内交流,,,2024-06-26,,1.0,通过,李文静,符合认定条件，通过
202300072,前沿学术报告,汽车百家讲坛,第1-5期·汽车空气动力学优化设计,,,2024-01-01,,0.25,通过,李文静,材料齐全，同意认定
202300072,年度创新创业项目,校级·核心成员,二手车价格预测模型构建,,核心成员,2025-01-10,2026-06-30,1.5,通过,李文静,符合认定条件，通过
202300072,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,国家级·三等奖,核心成员,2024-11-23,,1.2,通过,李文静,材料齐全，同意认定
202300072,创业实践,校园二手书流转平台,入驻孵化器·团队成员,,团队成员,2025-12-12,,2.0,待审核,,
202300072,学术论文,混合动力汽车能量管理策略仿真,国际/国内会议·其他作者,,其他作者,2026-02-21,,1.0,通过,李文静,佐证材料完整，予以通过
